Combined Models,Individual Model 1,Individual Model 2,Combined Accuracy,Best Individual Accuracy,Difference,Std Dev (Combined)
PolynomialSGDClassifier + FullDecisionTreeClassifier,PolynomialSGDClassifier,FullDecisionTreeClassifier,0.904089424204293,0.8990866706746818,0.005002753529611104,0.010099233453812567
PolynomialSGDClassifier + RandomForestClassifier,PolynomialSGDClassifier,RandomForestClassifier,0.9345005319355444,0.9343736305860911,0.0001269013494532567,0.0031848484113873245
PolynomialSGDClassifier + KNeighborsClassifier,PolynomialSGDClassifier,KNeighborsClassifier,0.9121415742489555,0.906849913877217,0.005291660371738449,0.0043811290034008205
PolynomialSGDClassifier + BaggingClassifier,PolynomialSGDClassifier,BaggingClassifier,0.9187699707178811,0.9283029193442914,-0.009532948626410298,0.009974125318998873
PolynomialSGDClassifier + AdaBoostClassifier,PolynomialSGDClassifier,AdaBoostClassifier,0.9259947665621026,0.9301835563063301,-0.004188789744227539,0.008824052453421162
GaussianNB + DecisionTreeClassifier,GaussianNB,DecisionTreeClassifier,0.8915057784405761,0.8626271845974582,0.02887859384311786,0.004594965732503416
GaussianNB + FullDecisionTreeClassifier,GaussianNB,FullDecisionTreeClassifier,0.896300536053948,0.8626271845974582,0.03367335145648975,0.00545358035804792
GaussianNB + RandomForestClassifier,GaussianNB,RandomForestClassifier,0.9318683224748721,0.9343736305860911,-0.0025053081112190734,0.0030773003730282474
GaussianNB + KNeighborsClassifier,GaussianNB,KNeighborsClassifier,0.913645270872473,0.906849913877217,0.006795356995256019,0.0049015258538307105
GaussianNB + BaggingClassifier,GaussianNB,BaggingClassifier,0.9194558919156037,0.9283029193442914,-0.008847027428687704,0.005287008205946166
GaussianNB + AdaBoostClassifier,GaussianNB,AdaBoostClassifier,0.9236412769412314,0.9301835563063301,-0.006542279365098658,0.004018001607336115
DecisionTreeClassifier + FullDecisionTreeClassifier,DecisionTreeClassifier,FullDecisionTreeClassifier,0.8566865202804369,0.8188969916148778,0.03778952866555907,0.018911647141074846
DecisionTreeClassifier + RandomForestClassifier,DecisionTreeClassifier,RandomForestClassifier,0.932164461185943,0.9343736305860911,-0.0022091694001481477,0.002200324124981392
DecisionTreeClassifier + KNeighborsClassifier,DecisionTreeClassifier,KNeighborsClassifier,0.9053841014715239,0.906849913877217,-0.001465812405693101,0.002975668088928412
DecisionTreeClassifier + BaggingClassifier,DecisionTreeClassifier,BaggingClassifier,0.9176812705593284,0.9283029193442914,-0.010621648784963078,0.008536808788959398
DecisionTreeClassifier + AdaBoostClassifier,DecisionTreeClassifier,AdaBoostClassifier,0.9233150541773799,0.9301835563063301,-0.006868502128950182,0.0033748259770973064
FullDecisionTreeClassifier + RandomForestClassifier,FullDecisionTreeClassifier,RandomForestClassifier,0.9340307486841335,0.9343736305860911,-0.0003428819019576368,0.0032223879650866262
FullDecisionTreeClassifier + KNeighborsClassifier,FullDecisionTreeClassifier,KNeighborsClassifier,0.911130733977396,0.906849913877217,0.004280820100178939,0.002825762003935649
FullDecisionTreeClassifier + BaggingClassifier,FullDecisionTreeClassifier,BaggingClassifier,0.9159768072327484,0.9283029193442914,-0.012326112111542997,0.0024222034935615943
FullDecisionTreeClassifier + AdaBoostClassifier,FullDecisionTreeClassifier,AdaBoostClassifier,0.9270021607320011,0.9301835563063301,-0.003181395574328949,0.007170392413066335
RandomForestClassifier + KNeighborsClassifier,RandomForestClassifier,KNeighborsClassifier,0.9349265336389319,0.9343736305860911,0.0005529030528407253,0.0023608189220892307
RandomForestClassifier + BaggingClassifier,RandomForestClassifier,BaggingClassifier,0.933022274352329,0.9343736305860911,-0.0013513562337621465,0.00454593298514272
RandomForestClassifier + AdaBoostClassifier,RandomForestClassifier,AdaBoostClassifier,0.9354612842520318,0.9343736305860911,0.0010876536659406577,0.003854861293505887
KNeighborsClassifier + BaggingClassifier,KNeighborsClassifier,BaggingClassifier,0.9244599699503582,0.9283029193442914,-0.0038429493939332593,0.00400554469890801
KNeighborsClassifier + AdaBoostClassifier,KNeighborsClassifier,AdaBoostClassifier,0.9289041698867683,0.9301835563063301,-0.0012793864195618232,0.0028500351446633884
BaggingClassifier + AdaBoostClassifier,BaggingClassifier,AdaBoostClassifier,0.929933339729485,0.9301835563063301,-0.000250216576845097,0.004743879777224363
